yearID,G,AB,RBI,BB,SO,Salary,Birth_Year,AgeInYear,Batting_Average,N_Y_Batting_Average
2000,138,481,72,81,78,2000000,1964,36,0.2453222453,0.2860635697
2014,5,3,0,0,1,,1985,29,0,0
2006,157,592,97,53,93,385000,1981,25,0.3209459459,0.2711864407
1998,18,39,5,4,8,,1969,29,0.3076923077,0.1764705882
2006,15,0,0,0,0,,1978,28,0,0
2001,34,5,0,0,1,232500,1977,24,0.2,0
2012,52,116,13,9,35,560000,1983,29,0.2155172414,0.255033557
2011,25,0,0,0,0,625000,1980,31,0,0
2011,31,53,3,1,25,437500,1985,26,0.1320754717,0.1
1997,35,5,2,0,1,1125000,1967,30,0.6,0
1994,6,19,1,2,3,2500000,1965,29,0.2105263158,0.2729970326
1996,120,217,23,16,38,625000,1962,34,0.2211981567,0.2266666667
2007,149,549,116,111,103,13250000,1975,32,0.3315118397,0.2644230769
1992,34,58,4,0,21,,1969,23,0.1206896552,0.2040816327
1995,59,2,0,0,1,600000,1961,34,0.5,0
2008,135,366,46,16,57,3000000,1979,29,0.2049180328,0.1034482759
2010,34,62,2,2,13,500000,1984,26,0.1129032258,0.1090909091
2007,152,509,58,10,78,380000,1981,26,0.2671905697,0.1688888889
2004,24,51,1,0,15,3725000,1978,26,0.0588235294,0.16
2007,33,65,7,1,23,7750000,1978,29,0.2461538462,0.1923076923
2014,53,116,19,4,28,,1989,25,0.2672413793,0.2781569966
2001,118,453,57,12,69,280000,1974,27,0.2693156733,0.2368421053
2005,123,463,72,35,60,8950000,1978,27,0.3023758099,0.2912457912
1992,73,137,15,23,26,,1964,28,0.1897810219,0.2583333333
2002,32,30,0,1,12,252000,1977,25,0.1,0.125
1997,37,0,0,0,0,200000,1969,28,0,0
1999,65,4,0,0,3,202000,1977,22,0,0
2010,145,499,79,83,211,833333,1983,27,0.1983967936,0.2209737828
2008,5,0,0,0,0,,1979,29,0,0
1993,162,641,87,65,58,5200000,1960,33,0.2574102964,0.3153153153
2002,38,128,18,15,21,,1977,25,0.2265625,0.2695652174
2009,110,305,41,40,55,400000,1980,29,0.2786885246,0.196969697
2004,5,2,0,0,2,,1978,26,0,0.3333333333
2004,70,165,13,15,62,310000,1977,27,0.1696969697,0.24
2007,8,9,0,0,1,,1980,27,0.2222222222,0
1997,97,341,31,17,80,2500000,1965,32,0.2434017595,0.3103448276
2002,24,2,0,0,0,,1976,26,0.5,0
2007,7,0,0,0,0,,1981,26,0,0
2008,31,3,0,0,2,425000,1981,27,0,0
1992,42,64,3,1,22,205000,1966,26,0.15625,0.1466666667
2001,25,49,5,1,22,3200000,1973,28,0.1632653061,0.125
2000,99,153,15,13,19,475000,1971,29,0.2352941176,0
1994,87,322,61,51,50,4625000,1968,26,0.2763975155,0.323943662
2010,63,158,17,20,71,2250000,1980,30,0.1962025316,0.1764705882
2014,37,0,0,0,0,505000,1989,25,0,0
1990,7,0,0,0,0,118000,1967,23,0,0.5
1994,49,3,0,0,0,1400000,1967,27,0.6666666667,0
2010,12,20,0,0,7,,1988,22,0.05,0
2006,69,0,0,0,0,339625,1983,23,0,0
2000,49,2,0,0,2,202500,1976,24,0,0
2006,162,648,99,46,79,11811415,1974,32,0.3302469136,0.2957198444
2000,13,4,0,1,1,375000,1974,26,0,0.0952380952
1997,5,2,1,0,1,,1973,24,0.5,0
1995,5,10,0,0,3,,1969,26,0.1,0.3333333333
2012,30,0,0,0,0,480000,1983,29,0,0
2012,27,54,4,2,14,,1986,26,0.1666666667,0.2403100775
2014,30,123,14,6,21,13000000,1980,34,0.2682926829,0.2303370787
2006,10,15,0,0,9,,1983,23,0.0666666667,0.0769230769
2010,108,344,36,34,45,1375000,1967,43,0.2761627907,0.251497006
2011,58,167,18,9,18,1750000,1967,44,0.251497006,0.2352941176
1995,36,63,9,10,14,155000,1966,29,0.1746031746,0.1111111111
1993,11,30,2,1,6,109000,1969,24,0.2,0.2041420118
2001,151,551,93,51,82,1050000,1973,28,0.2958257713,0.2990196078
2009,8,3,0,0,1,,1985,24,0,0
1998,96,347,64,59,53,3050000,1963,35,0.2795389049,0.2258064516
2005,40,92,14,3,13,378500,1982,23,0.2608695652,0.171875
1992,15,27,7,0,3,109000,1966,26,0.2962962963,0.1492537313
2004,57,129,17,8,26,,1966,38,0.2325581395,0.2333333333
1998,32,90,13,4,8,175000,1973,25,0.3222222222,0.2620481928
2005,160,617,85,48,91,3750000,1974,31,0.3063209076,0.2617801047
2003,46,0,0,0,0,750000,1972,31,0,0
2010,39,106,10,6,13,,1985,25,0.2547169811,0.2702702703
2005,35,55,2,1,21,550000,1974,31,0.1454545455,0.2553191489
2008,38,83,9,0,24,16000000,1981,27,0.3373493976,0.2173913043
2013,78,2,0,0,0,3150000,1979,34,0,0
2008,7,0,0,0,0,393225,1982,26,0,0
2012,155,549,47,62,101,1400000,1987,25,0.2732240437,0.2814371257
2001,33,62,4,1,24,8500000,1967,34,0.1129032258,0
2014,111,432,58,25,58,500000,1991,23,0.287037037,0.2873376623
2012,102,347,45,18,108,489600,1986,26,0.2334293948,0.194092827
2007,6,2,0,0,2,,1983,24,0,0
2014,124,390,44,61,151,4150000,1987,27,0.2179487179,0.191011236
2012,14,0,0,0,0,,1985,27,0,0.5
1993,154,624,105,34,68,1383333,1968,25,0.3205128205,0.314479638
1995,114,448,88,79,102,6875000,1968,27,0.2901785714,0.3151408451
2007,27,3,0,0,1,,1981,26,0.3333333333,0.25
1997,43,65,5,2,17,,1974,23,0.2769230769,0.2619047619
1992,144,285,20,14,43,500000,1961,31,0.2105263158,0.2278481013
2000,148,518,80,58,100,201500,1977,23,0.2451737452,0.2106666667
1993,115,335,24,21,64,1000000,1963,30,0.2447761194,0.262745098
2005,60,211,24,11,24,,1982,23,0.2559241706,0.2885304659
2004,156,633,100,40,94,3000000,1965,39,0.2812006319,0.2644067797
1991,35,71,3,0,20,1750000,1957,34,0.1830985915,0.0555555556
2008,10,0,0,0,0,415000,1978,30,0,0
1992,2,0,0,0,0,,1967,25,0,0
1999,130,341,49,22,114,290000,1971,28,0.2316715543,0.1728395062
1992,152,543,69,71,146,1445000,1964,28,0.2430939227,0.2717584369
2007,25,2,0,0,0,13200000,1977,30,0,0
2004,127,448,66,78,130,4250000,1976,28,0.2566964286,0.28113879
2009,53,1,0,0,1,420000,1981,28,0,0
2006,31,4,0,0,0,7000000,1970,36,0.25,0
2002,90,94,24,4,17,,1976,26,0.2446808511,0.2632850242
2011,151,604,87,44,119,2025000,1985,26,0.2731788079,0.2702702703
2012,143,555,70,52,99,4550000,1985,27,0.2702702703,0.2421259843
