yearID,G,AB,RBI,BB,SO,Salary,Birth_Year,AgeInYear,Batting_Average,N_Y_Batting_Average,,,,,
1993,67,223,33,12,35,716667,1967,26,0.3094170404,0.2584269663,,-0.0509900741,0.0509900741,,
2009,11,32,3,3,7,410400,1984,25,0.1875,0.2407407407,,0.0532407407,0.0532407407,,
1990,162,641,85,33,148,265000,1964,26,0.2854914197,0.2674897119,,-0.0180017077,0.0180017077,,
2000,156,598,82,28,73,202500,1976,24,0.2658862876,0.269874477,,0.0039881894,0.0039881894,,
2011,114,380,36,22,67,750000,1976,35,0.2342105263,0.2619047619,,0.0276942356,0.0276942356,,
2012,115,385,46,24,31,1525000,1980,32,0.3246753247,0.2529550827,,-0.0717202419,0.0717202419,,
2008,42,104,12,7,34,?,1982,26,0.2596153846,0.2162162162,,-0.0433991684,0.0433991684,,
2005,101,304,33,41,85,750000,1975,30,0.2598684211,0.2388059701,,-0.0210624509,0.0210624509,,
1990,103,355,46,38,44,255000,1964,26,0.2338028169,0.4090909091,,0.1752880922,0.1752880922,,
2004,16,33,2,0,10,?,1980,24,0.1818181818,0.2711864407,,0.0893682589,0.0893682589,,
2004,15,50,3,2,14,304700,1978,26,0.22,0.2195121951,,-0.0004878049,0.0004878049,,
1995,115,364,45,38,78,1725000,1964,31,0.2252747253,0.2744063325,,0.0491316072,0.0491316072,,
2006,112,255,31,28,59,2250000,1976,30,0.2901960784,0.2627986348,,-0.0273974436,0.0273974436,,
2014,111,379,45,59,78,8500000,1983,31,0.290237467,0.2403628118,,-0.0498746552,0.0498746552,,
2005,162,629,108,63,78,8000000,1974,31,0.3052464229,0.3023255814,,-0.0029208415,0.0029208415,,
2013,113,445,62,61,89,23000000,1983,30,0.3235955056,0.2769230769,,-0.0466724287,0.0466724287,,
1990,17,61,8,2,7,?,1968,22,0.2459016393,0.2272727273,,-0.0186289121,0.0186289121,,
1994,80,229,29,14,50,160000,1968,26,0.2663755459,0.2692307692,,0.0028552234,0.0028552234,,
2002,84,194,28,20,35,290000,1971,31,0.2474226804,0.2651933702,,0.0177706898,0.0177706898,,
2008,29,30,1,0,16,2212500,1985,23,0.0666666667,0.0833333333,,0.0166666667,0.0166666667,,
2014,123,367,47,34,95,510100,1989,25,0.2207084469,0.2579908676,,0.0372824207,0.0372824207,,
1999,86,296,35,19,78,240000,1969,30,0.2702702703,0.274691358,,0.0044210878,0.0044210878,,
2007,59,184,27,13,42,383000,1985,22,0.2717391304,0.2676864245,,-0.004052706,0.004052706,,
1998,9,14,3,0,3,?,1974,24,0.4285714286,0.1935483871,,-0.2350230415,0.2350230415,,
2012,149,563,69,39,124,487250,1988,24,0.2415630551,0.2330508475,,-0.0085122076,0.0085122076,,
1991,35,80,3,1,32,475000,1963,28,0.0875,0.0963855422,,0.0088855422,0.0088855422,,
2001,106,326,54,32,57,222500,1971,30,0.245398773,0.1460674157,,-0.0993313573,0.0993313573,,
1991,153,576,69,55,74,2628164,1956,35,0.2604166667,0.2613430127,,0.000926346,0.000926346,,
1996,152,566,69,61,87,2000000,1956,40,0.2597173145,0.2215568862,,-0.0381604283,0.0381604283,,
1996,97,329,37,19,52,475000,1966,30,0.2857142857,0.2586206897,,-0.0270935961,0.0270935961,,
2009,115,376,38,18,51,2100000,1984,25,0.2180851064,0.1935483871,,-0.0245367193,0.0245367193,,
2008,68,176,15,13,29,?,1977,31,0.2613636364,0.2589285714,,-0.0024350649,0.0024350649,,
2005,35,73,1,2,19,5900000,1977,28,0.1780821918,0.1515151515,,-0.0265670403,0.0265670403,,
2007,9,9,1,0,3,?,1982,25,0.2222222222,0.2264150943,,0.0041928721,0.0041928721,,
1999,22,38,1,0,11,275000,1967,32,0.1578947368,0.1272727273,,-0.0306220096,0.0306220096,,
2008,32,59,4,4,18,1987500,1984,24,0.0847457627,0.0961538462,,0.0114080834,0.0114080834,,
2010,23,24,1,1,6,?,1986,24,0.0833333333,0.2647058824,,0.181372549,0.181372549,,
2013,151,606,80,39,98,10083333,1981,32,0.2607260726,0.2662337662,,0.0055076936,0.0055076936,,
1991,136,394,46,33,93,?,1964,27,0.269035533,0.2672064777,,-0.0018290553,0.0018290553,,
1998,133,517,79,48,78,255000,1976,22,0.2823984526,0.2752136752,,-0.0071847774,0.0071847774,,
1992,162,637,73,64,50,2100000,1960,32,0.251177394,0.2574102964,,0.0062329024,0.0062329024,,
2008,21,32,2,1,8,?,1983,25,0.09375,0.1578947368,,0.0641447368,0.0641447368,,
1992,68,15,0,0,10,?,1966,26,0.0666666667,0.0833333333,,0.0166666667,0.0166666667,,
2006,142,521,94,56,69,12456336,1975,31,0.2955854127,0.2653061224,,-0.0302792902,0.0302792902,,
2004,36,71,9,4,16,305000,1977,27,0.2394366197,0.2307692308,,-0.0086673889,0.0086673889,,
2001,27,41,4,6,3,?,1976,25,0.3170731707,0.2753623188,,-0.0417108519,0.0417108519,,
2001,123,400,46,25,70,500000,1972,29,0.2675,0.2375690608,,-0.0299309392,0.0299309392,,
1991,150,550,96,83,36,2225000,1954,37,0.2854545455,0.2953667954,,0.0099122499,0.0099122499,,
2006,159,647,119,67,160,10000000,1976,30,0.2766615147,0.298791019,,0.0221295043,0.0221295043,,
1992,140,458,52,51,89,137500,1965,27,0.268558952,0.2570194384,,-0.0115395135,0.0115395135,,
2007,130,307,48,23,32,925000,1969,38,0.2899022801,0.2197802198,,-0.0701220604,0.0701220604,,
2009,17,53,2,4,5,?,1986,23,0.320754717,0.2772277228,,-0.0435269942,0.0435269942,,
1998,123,440,89,89,141,4800000,1970,28,0.2931818182,0.2773279352,,-0.015853883,0.015853883,,
2008,26,12,2,2,6,414000,1982,26,0.25,0.0833333333,,-0.1666666667,0.1666666667,,
2009,71,198,28,21,37,?,1982,27,0.2323232323,0.2298850575,,-0.0024381749,0.0024381749,,
1994,22,43,3,0,9,112000,1970,24,0.1860465116,0.2653061224,,0.0792596108,0.0792596108,,
2000,34,4,0,1,1,1000000,1970,30,0.25,0.1607142857,,-0.0892857143,0.0892857143,,
2013,126,446,72,57,85,10000000,1984,29,0.3116591928,0.3396825397,,0.0280233469,0.0280233469,,
1996,32,61,3,2,31,200000,1970,26,0.131147541,0.1153846154,,-0.0157629256,0.0157629256,,
2000,156,613,101,87,72,3000000,1967,33,0.2871125612,0.2553191489,,-0.0317934122,0.0317934122,,
2000,47,146,17,7,22,925000,1969,31,0.198630137,1,,0.801369863,0.801369863,,
1994,113,414,68,46,80,3412500,1957,37,0.2801932367,0.2660550459,,-0.0141381908,0.0141381908,,
2008,134,418,73,57,119,1700000,1979,29,0.2727272727,0.2679509632,,-0.0047763095,0.0047763095,,
1991,36,33,2,2,6,155000,1964,27,0.1818181818,0.1818181818,,0,0,,
1996,50,20,1,1,10,230000,1967,29,0.15,0.2,,0.05,0.05,,
1994,113,415,62,52,56,2700000,1965,29,0.2674698795,0.2464788732,,-0.0209910063,0.0209910063,,
2010,95,347,42,37,119,?,1987,23,0.2564841499,0.1914893617,,-0.0649947882,0.0649947882,,
1997,89,190,34,10,34,550000,1962,35,0.2842105263,0.276119403,,-0.0080911233,0.0080911233,,
2003,159,638,80,31,83,5350000,1972,31,0.3150470219,0.3009049774,,-0.0141420446,0.0141420446,,
1997,133,467,53,20,54,4750000,1968,29,0.2805139186,0.2661448141,,-0.0143691045,0.0143691045,,
2001,51,106,9,4,26,208000,1975,26,0.1603773585,0.2337662338,,0.0733888753,0.0733888753,,
1991,84,284,37,36,80,1333333,1959,32,0.2253521127,0.1368421053,,-0.0885100074,0.0885100074,,
2003,24,46,3,1,14,1725000,1980,23,0.152173913,0.1590909091,,0.006916996,0.006916996,,
1993,3,7,3,5,4,109000,1972,21,0.2857142857,0.2653061224,,-0.0204081633,0.0204081633,,
1997,66,142,9,10,28,170000,1972,25,0.2112676056,0.2727272727,,0.0614596671,0.0614596671,,
2005,68,199,11,21,37,750000,1972,33,0.2211055276,0.2229299363,,0.0018244087,0.0018244087,,
1991,41,46,1,3,21,810000,1959,32,0.0652173913,0.125,,0.0597826087,0.0597826087,,
1990,120,367,65,28,50,310000,1963,27,0.272479564,0.2745098039,,0.0020302399,0.0020302399,,
2011,147,502,72,32,124,414000,1987,24,0.2709163347,0.2202380952,,-0.0506782394,0.0506782394,,
2012,101,168,27,15,44,500000,1987,25,0.2202380952,0.2742857143,,0.054047619,0.054047619,,
1999,133,473,64,39,74,5250000,1966,33,0.2473572939,0.229787234,,-0.0175700598,0.0175700598,,
2000,33,66,2,2,29,15714286,1965,35,0.0757575758,0.0833333333,,0.0075757576,0.0075757576,,
1997,122,366,49,30,83,225000,1970,27,0.2240437158,0.2824074074,,0.0583636916,0.0583636916,,
2008,122,403,70,46,62,1800000,1977,31,0.2977667494,0.2833638026,,-0.0144029468,0.0144029468,,
2010,76,212,22,19,54,418800,1986,24,0.2075471698,0.125,,-0.0825471698,0.0825471698,,
2014,133,471,55,24,108,546000,1986,28,0.3014861996,0.3067150635,,0.0052288639,0.0052288639,,
2010,133,351,48,51,64,1535677,1974,36,0.2905982906,0.2898230088,,-0.0007752817,0.0007752817,,
1990,92,244,24,25,31,250000,1954,36,0.2540983607,0.2459677419,,-0.0081306187,0.0081306187,,
1997,75,263,27,27,53,154000,1975,22,0.2395437262,0.2026143791,,-0.0369293472,0.0369293472,,
1997,159,612,94,44,108,2225000,1967,30,0.3039215686,0.319379845,,0.0154582763,0.0154582763,,
1995,11,4,0,1,1,109000,1972,23,0.25,0.196969697,,-0.053030303,0.053030303,,
2011,33,61,3,1,12,419000,1988,23,0.1639344262,0.2916666667,,0.1277322404,0.1277322404,,
2003,156,588,94,62,89,3675000,1977,26,0.2823129252,0.2757894737,,-0.0065234515,0.0065234515,,
1999,77,251,40,38,42,4920840,1964,35,0.3027888446,0.318501171,,0.0157123263,0.0157123263,,
1991,9,26,0,1,6,?,1970,21,0.1153846154,0.2242990654,,0.10891445,0.10891445,,
2004,12,3,1,1,1,?,1980,24,0.3333333333,0.0714285714,,-0.2619047619,0.2619047619,,
2000,162,603,91,71,129,395000,1974,26,0.2421227197,0.273830156,,0.0317074362,0.0317074362,,
1992,89,291,39,10,62,230000,1968,24,0.2405498282,0.2128514056,,-0.0276984226,0.0276984226,,
1997,42,158,29,14,47,2200000,1962,35,0.3037974684,0.3274336283,,0.02363616,0.02363616,,
2006,144,524,89,74,120,13500000,1972,34,0.2652671756,0.2583643123,,-0.0069028633,0.0069028633,,
2000,34,50,2,4,9,312500,1973,27,0.3,0.2764976959,,-0.0235023041,0.0235023041,,
2010,154,525,59,28,109,400000,1985,25,0.2685714286,0.2534246575,,-0.015146771,0.015146771,,
2003,116,381,70,74,126,400000,1979,24,0.2152230971,0.2658450704,,0.0506219733,0.0506219733,,
2014,120,260,33,22,52,530000,1984,30,0.2692307692,0.25,,-0.0192307692,0.0192307692,,
2013,153,508,61,57,73,5000000,1982,31,0.2559055118,0.2584033613,,0.0024978495,0.0024978495,,
2000,32,68,4,2,28,2450000,1973,27,0.2058823529,0.0714285714,,-0.1344537815,0.1344537815,,
2013,1,4,0,0,0,?,1983,30,0.25,0.1,,-0.15,0.15,,
1990,148,414,47,26,22,190000,1963,27,0.2560386473,0.2617924528,,0.0057538055,0.0057538055,,
1992,62,188,12,23,38,1000000,1947,45,0.2287234043,0.1886792453,,-0.040044159,0.040044159,,
2005,150,550,85,63,98,6616856,1972,33,0.2727272727,0.2439759036,,-0.0287513691,0.0287513691,,
1993,29,56,5,2,7,125000,1963,30,0.1428571429,0.2045454545,,0.0616883117,0.0616883117,,
2009,17,31,3,2,7,400000,1983,26,0.3225806452,0.2958333333,,-0.0267473118,0.0267473118,,
2014,134,462,53,38,124,5050000,1983,31,0.2597402597,0.2570754717,,-0.002664788,0.002664788,,
1999,100,347,38,22,35,270000,1975,24,0.2766570605,0.2946058091,,0.0179487486,0.0179487486,,
1994,107,375,39,27,79,2966667,1961,33,0.2586666667,0.2558139535,,-0.0028527132,0.0028527132,,
2010,12,15,1,1,8,406500,1985,25,0.2,0.1153846154,,-0.0846153846,0.0846153846,,
1992,153,544,74,45,101,2700000,1965,27,0.2591911765,0.2739273927,,0.0147362163,0.0147362163,,
1999,158,575,115,105,106,2103333,1971,28,0.3147826087,0.3333333333,,0.0185507246,0.0185507246,,
2001,64,160,16,11,28,240000,1974,27,0.275,0.2195121951,,-0.0554878049,0.0554878049,,
2008,134,493,72,66,120,406000,1984,24,0.2596348884,0.2317073171,,-0.0279275714,0.0279275714,,
2014,43,99,7,2,20,502250,1987,27,0.2727272727,0.1904761905,,-0.0822510823,0.0822510823,,
2007,100,271,41,21,77,381900,1983,24,0.2656826568,0.2481203008,,-0.0175623561,0.0175623561,,
2013,13,19,9,2,4,?,1990,23,0.3684210526,0.2504440497,,-0.1179770029,0.1179770029,,
2005,21,57,9,6,11,?,1982,23,0.1929824561,0.2827004219,,0.0897179658,0.0897179658,,
1999,147,508,79,52,145,2400000,1969,30,0.2657480315,0.2443946188,,-0.0213534127,0.0213534127,,
2006,144,501,66,43,79,4000000,1976,30,0.2754491018,0.2582417582,,-0.0172073436,0.0172073436,,
2012,7,18,0,1,5,?,1987,25,0.0555555556,0.2038216561,,0.1482661005,0.1482661005,,
1994,24,48,1,3,17,2615000,1965,29,0.1458333333,0.1935483871,,0.0477150538,0.0477150538,,
2006,17,30,0,1,11,?,1980,26,0.1,0.126984127,,0.026984127,0.026984127,,
1991,132,462,72,67,48,2600000,1960,31,0.2835497835,0.2436548223,,-0.0398949612,0.0398949612,,
1991,101,207,21,10,29,300000,1960,31,0.2270531401,0.2448979592,,0.0178448191,0.0178448191,,
2010,134,471,65,29,62,2225000,1981,29,0.3205944798,0.2763385147,,-0.0442559651,0.0442559651,,
2010,61,212,27,21,27,2766666,1980,30,0.25,0.276169265,,0.026169265,0.026169265,,
2007,130,415,56,53,50,392000,1982,25,0.2843373494,0.3,,0.0156626506,0.0156626506,,
1994,21,40,6,2,14,175000,1965,29,0.3,0.2802197802,,-0.0197802198,0.0197802198,,
2000,146,524,89,77,91,7000000,1966,34,0.286259542,0.2414698163,,-0.0447897257,0.0447897257,,
2011,161,602,115,74,159,7100000,1984,27,0.3239202658,0.3027295285,,-0.0211907372,0.0211907372,,
2003,137,427,71,71,92,325000,1976,27,0.243559719,0.2142857143,,-0.0292740047,0.0292740047,,
1996,153,578,140,98,74,4670000,1968,28,0.3408304498,0.2913256956,,-0.0495047542,0.0495047542,,
1999,13,30,2,1,8,?,1968,31,0.1666666667,0.2941176471,,0.1274509804,0.1274509804,,
2003,19,44,9,5,11,?,1979,24,0.2727272727,0.2244897959,,-0.0482374768,0.0482374768,,
2006,149,492,89,55,128,420000,1979,27,0.2845528455,0.2717584369,,-0.0127944086,0.0127944086,,
2013,34,58,5,1,14,?,1989,24,0.2413793103,0.1764705882,,-0.0649087221,0.0649087221,,
2005,142,463,57,43,100,1500000,1976,29,0.2721382289,0.2901960784,,0.0180578495,0.0180578495,,
1999,41,16,2,0,6,310000,1970,29,0.3125,0.2352941176,,-0.0772058824,0.0772058824,,
1990,32,68,0,1,25,1400000,1954,36,0.1029411765,0.1527777778,,0.0498366013,0.0498366013,,
2013,30,65,5,3,23,500000,1985,28,0.1846153846,0.1162790698,,-0.0683363148,0.0683363148,,
1990,156,523,87,110,116,1500000,1963,27,0.2351816444,0.2008281573,,-0.034353487,0.034353487,,
1991,154,483,62,93,116,2850000,1963,28,0.2008281573,0.2676659529,,0.0668377955,0.0668377955,,
1990,29,75,11,5,17,?,1963,27,0.2,0.1707317073,,-0.0292682927,0.0292682927,,
2005,39,97,11,5,28,385000,1972,33,0.2474226804,0.21875,,-0.0286726804,0.0286726804,,
1999,43,126,18,8,16,200000,1971,28,0.253968254,0.3203125,,0.066344246,0.066344246,,
2003,62,163,23,11,36,805000,1970,33,0.2576687117,0.28125,,0.0235812883,0.0235812883,,
1992,99,360,48,35,46,3750000,1962,30,0.2861111111,0.3405572755,,0.0544461644,0.0544461644,,
2005,72,230,27,18,50,?,1982,23,0.2782608696,0.3720930233,,0.0938321537,0.0938321537,,
2006,53,141,10,11,32,350000,1977,29,0.1985815603,0.2348484848,,0.0362669246,0.0362669246,,
1994,45,126,10,10,27,700000,1966,28,0.246031746,0.2600732601,,0.014041514,0.014041514,,
2007,12,10,0,1,4,?,1976,31,0.1,0.1428571429,,0.0428571429,0.0428571429,,
2011,141,445,55,43,82,426000,1987,24,0.2921348315,0.2727272727,,-0.0194075587,0.0194075587,,
2007,16,33,2,0,3,380000,1982,25,0.2121212121,0.2857142857,,0.0735930736,0.0735930736,,
1993,52,180,16,9,39,?,1969,24,0.25,0.2093023256,,-0.0406976744,0.0406976744,,
1997,152,556,104,69,77,7000000,1968,29,0.3615107914,0.3279857398,,-0.0335250516,0.0335250516,,
2005,113,398,41,41,67,16071429,1968,37,0.2512562814,0.2832080201,,0.0319517386,0.0319517386,,
2004,131,471,45,19,27,3500000,1976,28,0.2717622081,0.2565217391,,-0.0152404689,0.0152404689,,
2014,143,536,62,26,80,11000000,1983,31,0.2817164179,0.288,,0.0062835821,0.0062835821,,
2001,80,173,18,34,61,600000,1967,34,0.1849710983,0.3113207547,,0.1263496565,0.1263496565,,
1997,47,100,17,5,15,350000,1964,33,0.22,0.1851851852,,-0.0348148148,0.0348148148,,
2011,147,579,105,61,58,14508395,1980,31,0.298791019,0.2850082372,,-0.0137827818,0.0137827818,,
2006,24,49,8,2,11,?,1978,28,0.2857142857,0.1935483871,,-0.0921658986,0.0921658986,,
2011,149,565,80,43,69,14600000,1978,33,0.3061946903,0.3,,-0.0061946903,0.0061946903,,
2001,141,493,54,39,73,4500000,1976,25,0.2596348884,0.3051470588,,0.0455121704,0.0455121704,,
1992,54,7,0,0,4,3500000,1958,34,0.1428571429,1,,0.8571428571,0.8571428571,,
2002,76,208,20,16,39,925000,1971,31,0.2644230769,0.2115384615,,-0.0528846154,0.0528846154,,
2005,143,561,92,67,83,390000,1977,28,0.3137254902,0.2859680284,,-0.0277574618,0.0277574618,,
1994,104,306,33,17,58,177000,1967,27,0.2679738562,0.2391304348,,-0.0288434214,0.0288434214,,
2005,79,175,21,18,23,?,1980,25,0.2685714286,0.2347826087,,-0.0337888199,0.0337888199,,
2010,5,11,0,0,4,?,1985,25,0.0909090909,0.125,,0.0340909091,0.0340909091,,
2013,47,108,9,7,24,492000,1985,28,0.2592592593,0.2270916335,,-0.0321676258,0.0321676258,,
2010,153,525,71,37,121,4450000,1980,30,0.2685714286,0.2395061728,,-0.0290652557,0.0290652557,,
2014,50,152,16,16,58,3100000,1977,37,0.1842105263,0.1761006289,,-0.0081098974,0.0081098974,,
2011,32,57,1,4,23,3700000,1984,27,0.1228070175,0.1,,-0.0228070175,0.0228070175,,
1995,81,266,40,24,48,650000,1965,30,0.2857142857,0.264033264,,-0.0216810217,0.0216810217,,
2009,93,262,29,17,57,825000,1979,30,0.2671755725,0.2625,,-0.0046755725,0.0046755725,,
1995,132,492,56,64,57,938890,1962,33,0.3109756098,0.3263525305,,0.0153769208,0.0153769208,,
1997,122,385,36,24,56,1370000,1967,30,0.2597402597,0.2215384615,,-0.0382017982,0.0382017982,,
1998,32,76,8,15,19,285000,1966,32,0.1710526316,0.2064516129,,0.0353989813,0.0353989813,,
2010,32,17,2,2,12,415100,1982,28,0.1764705882,0.1481481481,,-0.0283224401,0.0283224401,,
1998,122,192,17,26,37,235000,1969,29,0.234375,0.3548387097,,0.1204637097,0.1204637097,,
